Geo,Year,AutoMeanAge,LtTrkMeanAge
1,2005,9.28,9.63
2,2005,9.28,9.63
3,2005,9.28,9.63
4,2005,9.28,9.63
5,2005,8.96,9.45
6,2005,8.96,9.45
7,2005,8.96,9.45
8,2005,8.96,9.45
9,2005,8.96,9.45
10,2005,8.96,9.45
11,2005,8.96,9.45
12,2005,8.96,9.45
13,2005,8.96,9.45
14,2005,8.34,8.47
15,2005,8.34,8.47
16,2005,8.34,8.47
17,2005,8.34,8.47
18,2005,8.81,9.05
19,2005,8.81,9.05
20,2005,8.81,9.05
1,2010,9.92,10.65
2,2010,9.92,10.65
3,2010,9.92,10.65
4,2010,9.92,10.65
5,2010,9.58,10.45
6,2010,9.58,10.45
7,2010,9.58,10.45
8,2010,9.58,10.45
9,2010,9.58,10.45
10,2010,9.58,10.45
11,2010,9.58,10.45
12,2010,9.58,10.45
13,2010,9.58,10.45
14,2010,8.92,9.36
15,2010,8.92,9.36
16,2010,8.92,9.36
17,2010,8.92,9.36
18,2010,9.42,10.005
19,2010,9.42,10.005
20,2010,9.42,10.005
1,2020,9.47,10.2
2,2020,9.47,10.2
3,2020,9.47,10.2
4,2020,9.47,10.2
5,2020,9.14,10.01
6,2020,9.14,10.01
7,2020,9.14,10.01
8,2020,9.14,10.01
9,2020,9.14,10.01
10,2020,9.14,10.01
11,2020,9.14,10.01
12,2020,9.14,10.01
13,2020,9.14,10.01
14,2020,8.51,8.96
15,2020,8.51,8.96
16,2020,8.51,8.96
17,2020,8.51,8.96
18,2020,10.12,11.05
19,2020,10.12,11.05
20,2020,10.12,11.05
1,2025,9.2,9.93
2,2025,9.2,9.93
3,2025,9.2,9.93
4,2025,9.2,9.93
5,2025,8.89,9.75
6,2025,8.89,9.75
7,2025,8.89,9.75
8,2025,8.89,9.75
9,2025,8.89,9.75
10,2025,8.89,9.75
11,2025,8.89,9.75
12,2025,8.89,9.75
13,2025,8.89,9.75
14,2025,8.27,8.73
15,2025,8.27,8.73
16,2025,8.27,8.73
17,2025,8.27,8.73
18,2025,10.12,11.05
19,2025,10.12,11.05
20,2025,10.12,11.05
1,2030,8.89,9.62
2,2030,8.89,9.62
3,2030,8.89,9.62
4,2030,8.89,9.62
5,2030,8.59,9.44
6,2030,8.59,9.44
7,2030,8.59,9.44
8,2030,8.59,9.44
9,2030,8.59,9.44
10,2030,8.59,9.44
11,2030,8.59,9.44
12,2030,8.59,9.44
13,2030,8.59,9.44
14,2030,7.99,8.46
15,2030,7.99,8.46
16,2030,7.99,8.46
17,2030,7.99,8.46
18,2030,10.12,11.05
19,2030,10.12,11.05
20,2030,10.12,11.05
1,2035,8.54,9.27
2,2035,8.54,9.27
3,2035,8.54,9.27
4,2035,8.54,9.27
5,2035,8.25,9.1
6,2035,8.25,9.1
7,2035,8.25,9.1
8,2035,8.25,9.1
9,2035,8.25,9.1
10,2035,8.25,9.1
11,2035,8.25,9.1
12,2035,8.25,9.1
13,2035,8.25,9.1
14,2035,7.68,8.15
15,2035,7.68,8.15
16,2035,7.68,8.15
17,2035,7.68,8.15
18,2035,10.12,11.05
19,2035,10.12,11.05
20,2035,10.12,11.05
1,2040,8.16,8.89
2,2040,8.16,8.89
3,2040,8.16,8.89
4,2040,8.16,8.89
5,2040,7.88,8.72
6,2040,7.88,8.72
7,2040,7.88,8.72
8,2040,7.88,8.72
9,2040,7.88,8.72
10,2040,7.88,8.72
11,2040,7.88,8.72
12,2040,7.88,8.72
13,2040,7.88,8.72
14,2040,7.33,7.81
15,2040,7.33,7.81
16,2040,7.33,7.81
17,2040,7.33,7.81
18,2040,10.12,11.05
19,2040,10.12,11.05
20,2040,10.12,11.05
1,2045,7.73,8.46
2,2045,7.73,8.46
3,2045,7.73,8.46
4,2045,7.73,8.46
5,2045,7.47,8.3
6,2045,7.47,8.3
7,2045,7.47,8.3
8,2045,7.47,8.3
9,2045,7.47,8.3
10,2045,7.47,8.3
11,2045,7.47,8.3
12,2045,7.47,8.3
13,2045,7.47,8.3
14,2045,6.95,7.44
15,2045,6.95,7.44
16,2045,6.95,7.44
17,2045,6.95,7.44
18,2045,10.12,11.05
19,2045,10.12,11.05
20,2045,10.12,11.05
1,2050,7.26,7.99
2,2050,7.26,7.99
3,2050,7.26,7.99
4,2050,7.26,7.99
5,2050,7.02,7.84
6,2050,7.02,7.84
7,2050,7.02,7.84
8,2050,7.02,7.84
9,2050,7.02,7.84
10,2050,7.02,7.84
11,2050,7.02,7.84
12,2050,7.02,7.84
13,2050,7.02,7.84
14,2050,6.53,7.03
15,2050,6.53,7.03
16,2050,6.53,7.03
17,2050,6.53,7.03
18,2050,10.12,11.05
19,2050,10.12,11.05
20,2050,10.12,11.05
